tic,fyear,roe,roa,profit_margin,payout_ratio,pe,inventory_turnover,eps,current_ratio,asset_turnover,acid_test,accounts_receivable_turnover,seq,revt,rect,prcc_c,ni,lct,invt,epspi,dvt,csho,cogs,at,act
F,2017,0.2178847807394669,0.029487060137776952,0.048489564729295304,0.3399105498553012,6.528172386214154,12.29395738055853,1.9132460451528082,2.7252431289640593,0.6081114627940173,1.1165433403805496,2.486573934558835,34890,156776,63049,12.49,7602,94600,10277,1.91,2584,3973.352,126345,257808,115902
F,2018,0.10233218301235668,0.014333047477976145,0.022932804450598112,0.7927658417187925,8.277379059015502,11.59367201426025,0.9242055903755939,2.684343249380029,0.625001949013799,1.0822442423798513,2.4363034097125142,35932,160338,65812,7.65,3677,95569,11220,0.93,2915,3978.552,130081,256540,114649
F,2019,0.0014163025463311738,0.00018179216127672248,0.00030147530468248876,51.234042553191486,784.5499787234043,11.854811793065084,0.011853929325360096,2.634584029674316,0.6030084668732135,1.0522663351404231,2.4691553556438968,33185,155900,63139,9.3,47,98132,10786,0.01,2408,3964.93,127866,258537,114047
F,2020,-0.04167481264255458,-0.0047855841293716625,-0.010059460139684138,-0.4659890539483972,-27.34380691946833,9.904330125832717,-0.32146218797872167,2.749825088484649,0.47572971739236175,1.08996625236645,2.418335710889206,30690,127144,52575,8.79,-1279,97192,10808,-0.32,596,3978.695,107046,267261,116744
F,2021,0.36969022444815436,0.06978427062462311,0.13155983893326292,0.022913530690750965,4.636685675419524,9.034314131786159,4.479492778669053,2.8330596184156867,0.5304374890579104,1.0683809670770554,3.095985285435306,48519,136341,44038,20.77,17937,90727,12065,4.49,411,4004.248,108999,257035,108996
F,2022,-0.04581194209333518,-0.007741789248253115,-0.0125334531213423,-1.0267541645633518,-23.401967016658254,9.162215909090909,-0.49696677171288217,2.6416286416286416,0.6176900470525707,1.0570891747362336,2.8929094370012445,43242,158057,54636,11.63,-1981,96866,14080,-0.49,2034,3986.182,129004,255884,116476
GM,2017,-0.11039684580440559,-0.01818506979414727,-0.02654064895458417,-0.57324016563147,-14.85144927536232,10.41583044171434,-2.76,2.7634542853426973,0.6851780386103293,0.7553778124593575,5.0754052640753,35001,145588,28685,40.99,-3864,76890,10663,-2.65,2215,1400,111064,212482,68744
GM,2018,0.20622748327328874,0.03525132071487954,0.05449884052254691,0.26753181931619663,5.84352383329174,11.74205378973105,5.724285714285714,2.76443693228109,0.6468269852511008,0.7961987912983207,4.402796490912902,38860,147049,33399,33.45,8014,82237,9816,5.61,2144,1400,115260,227339,75293
GM,2019,0.16108346094946402,0.02952152501567728,0.049053826591954064,0.32159833630421863,7.611408199643494,10.231679169070976,4.808571428571429,2.6857900005888933,0.6018190030565216,0.760779694953183,4.1091382717527996,41792,137237,33398,36.6,6732,84905,10398,4.62,2165,1400,106389,228037,74992
GM,2020,0.1427270708416611,0.027326377373572457,0.052471731232395805,0.08479850630154039,9.070483896063482,9.030874450415242,4.590714285714285,2.9432361406582404,0.520782843099739,0.8846076836440996,3.5768309776895224,45030,122485,34244,41.64,6427,79910,10235,4.36,545,1400,92431,235194,80924
GM,2021,0.16769884841992502,0.04094100147925367,0.07888727914081446,0,8.77782213793792,7.2434554973821985,6.679333333333333,3.288866788517364,0.5189810312277805,0.9288651757875497,3.7306935346473575,59744,127004,34043,58.63,10019,74408,12988,6.78,0,1500,94078,244718,82103
GM,2022,0.1465364644795846,0.03762351488617126,0.06338086579257983,0.02587074692973626,4.740889873162875,7.86665365091761,7.095714285714286,2.895968148814355,0.5936099864791677,0.9332156097132954,3.337841003471261,67792,156735,46957,33.64,9934,91174,15366,6.17,257,1400,120879,264037,100451
HMC,2016,0.08451596854373522,0.03252268206897076,0.04404316018548247,0.26307687748656816,9.506022549823516,7.013713558048104,3.0706849102248266,3.4921117311657803,0.7384275318120997,0.9562512483711021,5.296780337886719,65481.519,125654.789,23722.862,29.19,5534.234,48728.499,12244.233,3.07,1455.929,1802.28,85877.543,170165.363,58840.921
HMC,2017,0.13352643297094008,0.05474846502673866,0.0689621093396761,0.1644622891901443,6.075606006060196,6.922728174837617,5.609316990931676,3.4404024554125527,0.7938919727218977,0.9604796990680359,5.816056149937968,74703.748,144643.56,24869.698,34.08,9974.925,52957.618,14345.151,5.56,1640.499,1778.278,99307.581,182195.519,65209.868
HMC,2018,0.07381913541185504,0.02988943129918096,0.038412150399410275,0.31831224241543965,8.449751892735888,6.967333343621809,3.1302694251577523,3.4139272406534036,0.7781243952340621,0.9631144693722422,5.78846020473915,74613.445,143389.525,24771.618,26.45,5507.9,53977.67,14320.229,3.12,1753.232,1759.561,99773.809,184275.838,66306.904
HMC,2019,0.05688108954928488,0.022273381898173097,0.030523457893220116,0.43180838359546125,11.540731353509956,6.657996308649217,2.453050775797662,3.533878074616193,0.7297135854034569,0.9914256843926564,5.943241293630998,74461.689,138760.884,23347.678,28.31,4235.462,53810.009,14503.092,2.42,1828.908,1726.61,96561.533,190158.011,67851.717
HMC,2020,0.07238525671857998,0.029990609505917483,0.049916411792207856,0.22069442145228782,8.20618173011829,5.832408703360047,3.442526735219253,3.835394105876968,0.6008166137975313,1.0556445451198893,5.072474933503744,82116.943,119080.194,23475.758,28.25,5944.056,51675.847,13974.419,3.44,1311.82,1726.655,81504.523,198197.239,68525.745
HMC,2021,0.06751445773572738,0.029494119052693307,0.048586669490890536,0.26645562685248064,8.358222566627473,5.259714713119979,3.403833742546475,3.9925982778777027,0.6070413831971572,1.1529675216402904,5.616891007502879,86242.239,119839.414,21335.542,28.45,5822.598,49445.385,15798.974,3.39,1551.464,1710.6,83098.096,197415.559,72807.897
LCID,2021,-0.6598942792353214,-0.32730968509003056,-95.1555088340526,-0.8401289886931386,-24.300509155693103,0.7229076620825147,-1.5658108131074149,19.898240600250947,0.003439734484115319,16.106313793704132,8.612134688691233,3909.355,27.111,3.148,38.05,-2579.761,396.101,127.25,-6.41,2167.332,1647.556,91.99,7881.713,6506.977
LCID,2022,-0.2998964756428086,-0.16555661854610815,-2.144854903392247,0,-9.578079396838538,1.7491625729115856,-0.7130865925223376,8.40399164212599,0.07718779404810465,4.349195090655629,31.121737795517348,4349.701,608.181,19.542,6.83,-1304.46,937.559,834.401,-0.78,0,1829.315,1459.503,7879.238,4912.028
LI,2019,-0.5323000832922952,-0.2563255609017758,-8.57524485798237,0,,0.5122033169368061,-2.7467686274509804,2.0329036251420955,0.029891340147934327,0.9717996559953818,0.5560017970675126,657.924,40.84,73.453,,-350.213,672.084,74.406,-0.42,0,127.5,38.111,1366.282,727.537
LI,2020,-0.005088554115914163,-0.004169467902757826,-0.016037165472525487,0,-1130.1679819733934,7.3179093246378635,-0.025509482183046592,8.440799737690917,0.25998783325525104,7.041435684710583,29.591387677881055,4535.08,1438.97,48.628,28.83,-23.077,655.715,159.47,-0.03,0,904.644,1166.987,5534.759,4776.645
LI,2021,-0.007828147080184984,-0.005197462811549656,-0.011901519652183237,0,-611.996484467631,12.853052153803267,-0.052451281689834275,5.107995538506093,0.4367058126561362,4.192389858180735,101.91500479386386,6464.365,4251.894,41.72,32.1,-50.604,1906.088,254.689,-0.06,0,964.781,3273.531,9736.289,8245.753
