gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,ceq,ch,cogs,csho,cshpri,dv,dvp,epspx,invch,invt,ivst,lct,ni,recch,rect,sale,tstkn,txt,xint,costat,prcc_f
001690,2010-09-30,2010,INDL,C,D,STD,AAPL,USD,41678.0000,47791.0000,11261.0000,38609.0000,915.9700,909.4610,0.0000,0.0000,15.4100,-596.0000,1051.0000,14359.0000,20722.0000,14013.0000,-4860.0000,9924.0000,65225.0000,0.0000,4527.0000,0.0000,A,283.7500
001690,2011-09-30,2011,INDL,C,D,STD,AAPL,USD,44988.0000,76615.0000,9815.0000,62609.0000,929.2770,924.2580,0.0000,0.0000,28.0500,275.0000,776.0000,16137.0000,27970.0000,25922.0000,-1791.0000,11717.0000,108249.0000,0.0000,8283.0000,0.0000,A,381.3200
001690,2012-09-30,2012,INDL,C,D,STD,AAPL,USD,57653.0000,118210.0000,10746.0000,84641.0000,939.2080,934.8180,2488.0000,0.0000,44.6400,-15.0000,791.0000,18383.0000,38542.0000,41733.0000,-6965.0000,18692.0000,156508.0000,0.0000,14030.0000,0.0000,A,667.1050
001690,2013-09-30,2013,INDL,C,D,STD,AAPL,USD,73286.0000,123549.0000,14259.0000,99849.0000,899.2130,925.3310,10564.0000,0.0000,40.0300,-973.0000,1764.0000,26287.0000,43658.0000,37037.0000,-1949.0000,20641.0000,170910.0000,0.0000,13118.0000,136.0000,A,476.7500
001690,2014-09-30,2014,INDL,C,D,STD,AAPL,USD,68531.0000,111547.0000,13844.0000,104312.0000,5866.1610,6085.5720,11126.0000,0.0000,6.4900,-76.0000,2111.0000,11233.0000,63448.0000,39510.0000,-6452.0000,27219.0000,182795.0000,0.0000,13973.0000,384.0000,A,100.7500
001690,2015-09-30,2015,INDL,C,D,STD,AAPL,USD,89378.0000,119355.0000,21120.0000,129589.0000,5578.7530,5753.4210,11561.0000,0.0000,9.2800,-238.0000,2349.0000,20481.0000,80610.0000,53394.0000,-3124.0000,30343.0000,233715.0000,0.0000,19121.0000,733.0000,A,110.3000
001690,2016-09-30,2016,INDL,C,D,STD,AAPL,USD,106869.0000,128249.0000,20484.0000,121576.0000,5336.1660,5470.8200,12150.0000,0.0000,8.3500,217.0000,2132.0000,46671.0000,79006.0000,45687.0000,1044.0000,29299.0000,215091.0000,0.0000,15685.0000,1456.0000,A,113.0500
001690,2017-09-30,2017,INDL,C,D,STD,AAPL,USD,128645.0000,134047.0000,20289.0000,131648.0000,5126.2010,5217.2420,12769.0000,0.0000,9.2700,-2723.0000,4855.0000,53892.0000,100814.0000,48351.0000,-6347.0000,35673.0000,229234.0000,0.0000,15738.0000,2323.0000,A,154.1200
001690,2018-09-30,2018,INDL,C,D,STD,AAPL,USD,131339.0000,107147.0000,25913.0000,154456.0000,4754.9860,4955.3770,13712.0000,0.0000,12.0100,828.0000,3956.0000,40388.0000,116866.0000,59531.0000,-13332.0000,48995.0000,265359.0000,0.0000,13372.0000,3240.0000,A,225.7400
001690,2019-09-30,2019,INDL,C,D,STD,AAPL,USD,162819.0000,90488.0000,48844.0000,150482.0000,4443.2360,4617.8340,14119.0000,0.0000,11.9700,-289.0000,4106.0000,51736.0000,105718.0000,55256.0000,3176.0000,45804.0000,260174.0000,0.0000,10481.0000,3576.0000,A,223.9700
