gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,cogs,csho,dvt,epspi,invt,lct,ni,rect,revt,seq,costat,prcc_c
004839,2017-12-31,2017,INDL,C,D,STD,F,USD,115902.0000,257808.0000,126345.0000,3973.3520,2584.0000,1.9100,10277.0000,94600.0000,7602.0000,63049.0000,156776.0000,34890.0000,A,12.4900
004839,2018-12-31,2018,INDL,C,D,STD,F,USD,114649.0000,256540.0000,130081.0000,3978.5520,2915.0000,0.9300,11220.0000,95569.0000,3677.0000,65812.0000,160338.0000,35932.0000,A,7.6500
004839,2019-12-31,2019,INDL,C,D,STD,F,USD,114047.0000,258537.0000,127866.0000,3964.9300,2408.0000,0.0100,10786.0000,98132.0000,47.0000,63139.0000,155900.0000,33185.0000,A,9.3000
004839,2020-12-31,2020,INDL,C,D,STD,F,USD,116744.0000,267261.0000,107046.0000,3978.6950,596.0000,-0.3200,10808.0000,97192.0000,-1279.0000,52575.0000,127144.0000,30690.0000,A,8.7900
004839,2021-12-31,2021,INDL,C,D,STD,F,USD,108996.0000,257035.0000,108999.0000,4004.2480,411.0000,4.4900,12065.0000,90727.0000,17937.0000,44038.0000,136341.0000,48519.0000,A,20.7700
004839,2022-12-31,2022,INDL,C,D,STD,F,USD,116476.0000,255884.0000,129004.0000,3986.1820,2034.0000,-0.4900,14080.0000,96866.0000,-1981.0000,54636.0000,158057.0000,43242.0000,A,11.6300
005073,2017-12-31,2017,INDL,C,D,STD,GM,USD,68744.0000,212482.0000,111064.0000,1400.0000,2215.0000,-2.6500,10663.0000,76890.0000,-3864.0000,28685.0000,145588.0000,35001.0000,A,40.9900
005073,2018-12-31,2018,INDL,C,D,STD,GM,USD,75293.0000,227339.0000,115260.0000,1400.0000,2144.0000,5.6100,9816.0000,82237.0000,8014.0000,33399.0000,147049.0000,38860.0000,A,33.4500
005073,2019-12-31,2019,INDL,C,D,STD,GM,USD,74992.0000,228037.0000,106389.0000,1400.0000,2165.0000,4.6200,10398.0000,84905.0000,6732.0000,33398.0000,137237.0000,41792.0000,A,36.6000
005073,2020-12-31,2020,INDL,C,D,STD,GM,USD,80924.0000,235194.0000,92431.0000,1400.0000,545.0000,4.3600,10235.0000,79910.0000,6427.0000,34244.0000,122485.0000,45030.0000,A,41.6400
005073,2021-12-31,2021,INDL,C,D,STD,GM,USD,82103.0000,244718.0000,94078.0000,1500.0000,0.0000,6.7800,12988.0000,74408.0000,10019.0000,34043.0000,127004.0000,59744.0000,A,58.6300
005073,2022-12-31,2022,INDL,C,D,STD,GM,USD,100451.0000,264037.0000,120879.0000,1400.0000,257.0000,6.1700,15366.0000,91174.0000,9934.0000,46957.0000,156735.0000,67792.0000,A,33.6400
005691,2017-03-31,2016,INDL,C,D,STD,HMC,USD,58840.9210,170165.3630,85877.5430,1802.2800,1455.9290,3.0700,12244.2330,48728.4990,5534.2340,23722.8620,125654.7890,65481.5190,A,29.1900
005691,2018-03-31,2017,INDL,C,D,STD,HMC,USD,65209.8680,182195.5190,99307.5810,1778.2780,1640.4990,5.5600,14345.1510,52957.6180,9974.9250,24869.6980,144643.5600,74703.7480,A,34.0800
005691,2019-03-31,2018,INDL,C,D,STD,HMC,USD,66306.9040,184275.8380,99773.8090,1759.5610,1753.2320,3.1200,14320.2290,53977.6700,5507.9000,24771.6180,143389.5250,74613.4450,A,26.4500
005691,2020-03-31,2019,INDL,C,D,STD,HMC,USD,67851.7170,190158.0110,96561.5330,1726.6100,1828.9080,2.4200,14503.0920,53810.0090,4235.4620,23347.6780,138760.8840,74461.6890,A,28.3100
005691,2021-03-31,2020,INDL,C,D,STD,HMC,USD,68525.7450,198197.2390,81504.5230,1726.6550,1311.8200,3.4400,13974.4190,51675.8470,5944.0560,23475.7580,119080.1940,82116.9430,A,28.2500
005691,2022-03-31,2021,INDL,C,D,STD,HMC,USD,72807.8970,197415.5590,83098.0960,1710.6000,1551.4640,3.3900,15798.9740,49445.3850,5822.5980,21335.5420,119839.4140,86242.2390,A,28.4500
024426,2018-12-31,2018,INDL,C,D,STD,XPEV,USD,888.2220,1115.6400,239.1300,174.7070,0.0000,-0.3000,24.6190,141.4670,-203.3810,158.1380,1.4110,697.0580,A,
024426,2019-12-31,2019,INDL,C,D,STD,XPEV,USD,712.4300,1328.6460,377.9110,181.3740,0.0000,-0.7700,65.2180,473.6020,-530.1840,190.1220,333.3650,411.1800,A,
024426,2020-12-31,2020,INDL,C,D,STD,XPEV,USD,6037.8190,6802.8310,798.8490,768.3810,0.0000,-0.5900,204.3620,1192.5610,-415.7140,275.0050,889.3040,5239.0300,A,42.8300
